SEX;SCORED_1_LINE;SCORED_2_LINE;SCORED;DEFENCE_0;DEFENCE_1;DEFENCE_2;DEFENCE_3;DEFENCE;GIVEN_POINT;FRAME;LANDING;LINE;OTHER_ERRORS;OVERTURNING_FAILED;ENGAGE_FAILED;SWITCH_FAILED;CONSTRUCTION_FAILED;OTHER_FOULS;FOUL;TOTAL_SHOT_1_LINE;TOTAL_SHOT_2_LINE;TOTAL_SHOT;%SHOT_SCORED_1_LINE;%SHOT_SCORED_2_LINE;%SHOT_SCORED;CAUGHT_1_LINE;CAUGHT_2_LINE;DEFENSIVE_TOUCH;CAUGHT;DROPPED;TOTAL_DEFENCE;%SHOT_DEFENDED;MIN;PPM;DPM;TRUE_POINTS;TPPM;%TRUE_SHOT_SCORED;POINT_ON_TEAM;DEFENCE_ON _TEAM;TRUE_POINT_ON_TEAM;VAL_OFF;VAL_DEF;VAL;VALPM;VAL_ON_TEAM;ROLE
0;;;3;;;;;1;0;;;;;;;;;;0;;;;;;75;;;;0;1;;0;;;;;;;;;;;;;;;Wing
0;;;0;;;;;0;0;;;;;;;;;;2;;;;;;;;;;8;2;;80;;;;;;;;;;;;;;;Pivot
0;;;0;;;;;0;0;;;;;;;;;;0;;;;;;;;;;7;14;;33;;;;;;;;;;;;;;;Pivot
1;;;1;;;;;4;0;;;;;;;;;;0;;;;;;20;;;;1;2;;33;;;;;;;;;;;;;;;Wing
1;;;0;;;;;0;0;;;;;;;;;;0;;;;;;;;;;15;4;;78;;;;;;;;;;;;;;;Pivot
1;;;0;;;;;0;0;;;;;;;;;;0;;;;;;;;;;3;3;;50;;;;;;;;;;;;;;;Pivot
1;;;0;;;;;0;0;;;;;;;;;;2;;;;;;;;;;9;5;;64;;;;;;;;;;;;;;;Pivot
1;;;1;;;;;5;0;;;;;;;;;;2;;;;;;16;;;;2;3;;40;;;;;;;;;;;;;;;Wing
1;;;5;;;;;7;0;;;;;;;;;;2;;;;;;;;;;2;5;;28;;;;;;;;;;;;;;;Wing
1;;;2;;;;;9;2;;;;;;;;;;2;;;;;;15;;;;1;0;;100;;;;;;;;;;;;;;;Wing
1;;;14;;;;;6;5;;;;;;;;;;5;;;;;;56;;;;8;2;;80;;;;;;;;;;;;;;;Wing
1;;;16;;;;;15;0;;;;;;;;;;3;;;;;;51;;;;7;4;;63;;;;;;;;;;;;;;;Wing
1;;;0;;;;;0;0;;;;;;;;;;1;;;;;;;;;;9;2;;81;;;;;;;;;;;;;;;Pivot
1;;;5;;;;;0;0;;;;;;;;;;1;;;;;;100;;;;1;3;;25;;;;;;;;;;;;;;;Wing
1;;;2;;;;;4;0;;;;;;;;;;2;;;;;;33;;;;5;1;;50;;;;;;;;;;;;;;;Pivot
1;;;0;;;;;7;0;;;;;;;;;;2;;;;;;0;;;;53;1;;50;;;;;;;;;;;;;;;Wing
1;;;15;;;;;17;1;;;;;;;;;;1;;;;;;45;;;;8;7;;8;;;;;;;;;;;;;;;Wing
1;;;1;;;;;3;0;;;;;;;;;;0;;;;;;25;;;;8;;;50;;;;;;;;;;;;;;;Pivot
1;;;6;;;;;8;0;;;;;;;;;;6;;;;;;42;;;;9;6;;60;;;;;;;;;;;;;;;Wing
1;;;0;;;;;1;0;;;;;;;;;;0;;;;;;0;;;;7;10;;2;;;;;;;;;;;;;;;Pivot
1;;;1;;;;;0;0;;;;;;;;;;0;;;;;;100;;;;1;;;33;;;;;;;;;;;;;;;Wing
1;;;8;;;;;18;2;;;;;;;;;;7;;;;;;28;;;;7;5;;58;;;;;;;;;;;;;;;Wing
0;;;10;;;;;6;0;0;;;;;;;;;;;;16;;;63;;;;2;2;;;36.5;0.273972602739726;0.0547945205479452;10;0.273972602739726;0.625;0.16129032258064516;0.04878048780487805;0.1694915254237288;;;10.200.000.000.000.000;0.27945205479452057;0.10708661417322836;Wing
0;;;16;;;;;1;1;1;;;;;;;;;;;;19;;;84;;;;5;2;;;3.499.999.999.999.990;0.45714285714285724;0.14285714285714288;15;0.42857142857142866;0.7894736842105263;0.25806451612903225;0.12195121951219512;0.2542372881355932;;;19.55;0.5585714285714287;0.205249343832021;Wing
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;6;0;;;37.0;0.0;0.16216216216216217;0;0.0;;0.0;0.14634146341463414;0.0;;;7.199.999.999.999.990;0.19459459459459458;0.07559055118110236;Pivot
0;;;7;;;;;4;1;1;;;;;;;;;;;;13;;;54;;;;7;0;;;45.0;0.15555555555555556;0.15555555555555556;6;0.13333333333333333;0.46153846153846156;0.11290322580645161;0.17073170731707318;0.1016949152542373;;;13.350.000.000.000.000;0.2966666666666667;0.14015748031496064;Pivot
0;;;7;;;;;4;0;2;;;;;;;;;;;;13;;;54;;;;6;3;;;38.0;0.18421052631578946;0.15789473684210525;7;0.18421052631578946;0.5384615384615384;0.11290322580645161;0.14634146341463414;0.11864406779661017;;;11.399.999.999.999.900;0.3;0.11968503937007872;Pivot
0;;;8;;;;;3;0;1;;;;;;;;;;;;12;;;67;;;;4;2;;;38.5;0.2077922077922078;0.1038961038961039;8;0.2077922077922078;0.6666666666666666;0.12903225806451613;0.0975609756097561;0.13559322033898305;;;10.95;0.2844155844155844;0.11496062992125984;Pivot
0;;;14;;;;;3;1;2;;;;;;;;;;;;20;;;70;;;;7;3;;;40.0;0.35;0.175;13;0.325;0.65;0.22580645161290322;0.17073170731707318;0.22033898305084745;;;18.8;0.47000000000000003;0.1973753280839895;Wing
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;4;2;;;45.0;0.0;0.08888888888888889;0;0.0;;0.0;0.0975609756097561;0.0;;;3.8;0.08444444444444445;0.03989501312335958;Pivot
0;;;8;;;;;3;0;1;;;;;;;;;;;;12;;;67;;;;1;4;;;30.0;0.26666666666666666;0.03333333333333333;8;0.26666666666666666;0.6666666666666666;0.22857142857142856;0.047619047619047616;0.27586206896551724;;;63.500.000.000.000.000;0.2116666666666667;0.18540145985401466;Wing
0;;;2;;;;;3;1;1;;;;;;;;;;;;7;;;29;;;;2;0;;;31.499.999.999.999.900;0.0634920634920635;0.0634920634920635;1;0.03174603174603175;0.14285714285714285;0.05714285714285714;0.09523809523809523;0.034482758620689655;;;2.55;0.08095238095238097;0.07445255474452556;Pivot
0;;;2;;;;;2;0;0;;;;;;;;;;;;4;;;50;;;;2;1;;;36.0;0.05555555555555555;0.05555555555555555;2;0.05555555555555555;0.5;0.05714285714285714;0.09523809523809523;0.06896551724137931;;;3.5;0.09722222222222222;0.10218978102189784;Pivot
0;;;4;;;;;3;2;1;;;;;;;;;;;;10;;;40;;;;1;2;;;45.0;0.08888888888888889;0.022222222222222223;2;0.044444444444444446;0.2;0.11428571428571428;0.047619047619047616;0.06896551724137931;;;13.499.999.999.999.900;0.029999999999999995;0.03941605839416059;Wing
0;;;15;;;;;7;0;0;;;;;;;;;;;;22;;;68;;;;9;4;;;45.0;0.3333333333333333;0.2;15;0.3333333333333333;0.6818181818181818;0.42857142857142855;0.42857142857142855;0.5172413793103449;;;22.4;0.49777777777777776;0.6540145985401461;Wing
0;;;1;;;;;8;1;0;;;;;;;;;;;;10;;;10;;;;0;0;;;24.0;0.041666666666666664;0.0;0;0.0;0.0;0.02857142857142857;0.0;0.0;;;-1.6;-0.06666666666666667;-0.046715328467153296;Wing
1;;;1;;;;;10;1;0;;;;;;;;;;;;12;;;8;;;;0;2;;;36.0;0.027777777777777776;0.0;0;0.0;0.0;0.02857142857142857;0.0;0.0;;;-3.0;-0.08333333333333333;-0.08759124087591243;Wing
1;;;0;;;;;2;1;0;;;;;;;;;;;;3;;;0;;;;4;4;;;30.0;0.0;0.13333333333333333;-1;-0.03333333333333333;-0.3333333333333333;0.0;0.19047619047619047;-0.034482758620689655;;;1.4;0.04666666666666666;0.04087591240875913;Pivot
0;;;2;;;;;3;0;0;;;;;;;;;;;;5;;;40;;;;2;5;;;37.5;0.05333333333333334;0.05333333333333334;2;0.05333333333333334;0.4;0.05714285714285714;0.09523809523809523;0.06896551724137931;;;12.999.999.999.999.900;0.034666666666666665;0.03795620437956205;Wing
0;;;2;;;;;0;0;0;;;;;;;;;;;;2;;;100;;;;0;0;;;3.999.999.999.999.990;0.5000000000000001;0.0;2;0.5000000000000001;1.0;0.03076923076923077;0.0;0.03278688524590164;;;2.0;0.5000000000000001;0.020942408376963352;Wing
0;;;8;;;;;6;0;1;;;;;;;;;;;;15;;;53;;;;7;0;;;4.099.999.999.999.990;0.19512195121951223;0.1707317073170732;8;0.19512195121951223;0.5333333333333333;0.12307692307692308;0.1891891891891892;0.13114754098360656;;;14.95;0.36463414634146346;0.15654450261780103;Wing
0;;;14;;;;;3;0;1;;;;;;;;;;;;18;;;78;;;;6;0;;;36.5;0.3835616438356164;0.1643835616438356;14;0.3835616438356164;0.7777777777777778;0.2153846153846154;0.16216216216216217;0.22950819672131148;;;20.35;0.5575342465753425;0.21308900523560212;Wing
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;6;0;;;40.75;0.0;0.147239263803681;0;0.0;;0.0;0.16216216216216217;0.0;;;7.199.999.999.999.990;0.17668711656441716;0.07539267015706806;Pivot
1;;;7;;;;;3;1;0;;;;;;;;;;;;11;;;64;;;;3;1;;;35.0;0.2;0.08571428571428572;6;0.17142857142857143;0.5454545454545454;0.1076923076923077;0.08108108108108109;0.09836065573770492;;;8.5;0.24285714285714285;0.08900523560209424;Pivot
0;;;15;;;;;5;0;1;;;;;;;;;;;;21;;;71;;;;7;0;;;45.0;0.3333333333333333;0.15555555555555556;15;0.3333333333333333;0.7142857142857143;0.23076923076923078;0.1891891891891892;0.2459016393442623;;;22.15;0.49222222222222217;0.23193717277486908;Pivot
0;;;4;;;;;2;1;1;;;;;;;;;;;;8;;;50;;;;5;1;;;45.0;0.08888888888888889;0.1111111111111111;3;0.06666666666666667;0.375;0.06153846153846154;0.13513513513513514;0.04918032786885246;;;7.85;0.17444444444444443;0.08219895287958115;Pivot
0;;;15;;;;;3;1;2;;;;;;;;;;;;21;;;71;;;;0;5;;;3.299.999.999.999.990;0.45454545454545464;0.0;14;0.4242424242424243;0.6666666666666666;0.23076923076923078;0.0;0.22950819672131148;;;10.4;0.31515151515151524;0.10890052356020943;Wing
1;;;0;;;;;0;1;0;;;;;;;;;;;;1;;;0;;;;3;1;;;34.75;0.0;0.08633093525179857;-1;-0.02877697841726619;-1.0;0.0;0.08108108108108109;-0.01639344262295082;;;20.999.999.999.999.900;0.06043165467625898;0.021989528795811515;Pivot
0;;;6;;;;;7;0;2;;;;;;;;;;;;15;;;40;;;;0;1;;;30.0;0.2;0.0;6;0.2;0.4;0.13636363636363635;0.0;0.15;;;35.999.999.999.999.900;0.11999999999999998;0.0710059171597633;Wing
0;;;1;;;;;0;0;0;;;;;;;;;;;;1;;;100;;;;3;1;;;15.0;0.06666666666666667;0.2;1;0.06666666666666667;1.0;0.022727272727272728;0.13636363636363635;0.025;;;4.1;0.2733333333333333;0.08086785009861931;Pivot
0;;;1;;;;;0;0;0;;;;;;;;;;;;1;;;100;;;;0;2;;;30.0;0.03333333333333333;0.0;1;0.03333333333333333;1.0;0.022727272727272728;0.0;0.025;;;0.0;0.0;0.0;Pivot
0;;;9;;;;;6;0;0;;;;;;;;;;;;15;;;60;;;;6;2;;;30.0;0.3;0.2;9;0.3;0.6;0.20454545454545456;0.2727272727272727;0.225;;;14.0;0.4666666666666667;0.2761341222879684;Wing
0;;;0;;;;;1;0;0;;;;;;;;;;;;1;;;0;;;;3;1;;;30.0;0.0;0.1;0;0.0;0.0;0.0;0.13636363636363635;0.0;;;28.999.999.999.999.900;0.09666666666666665;0.05719921104536488;Pivot
0;;;2;;;;;3;1;2;;;;;;;;;;;;8;;;25;;;;0;1;;;30.0;0.06666666666666667;0.0;1;0.03333333333333333;0.125;0.045454545454545456;0.0;0.025;;;-0.6000000000000001;-0.020000000000000004;-0.01183431952662722;Wing
0;;;2;;;;;2;0;0;;;;;;;;;;;;4;;;50;;;;0;0;;;8.0;0.25;0.0;2;0.25;0.5;0.045454545454545456;0.0;0.05;;;1.6;0.2;0.03155818540433925;Wing
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;4;2;;;45.0;0.0;0.08888888888888889;0;0.0;;0.0;0.18181818181818182;0.0;;;3.8;0.08444444444444445;0.07495069033530571;Pivot
0;;;15;;;;;11;2;4;;;;;;;;;;;;32;;;47;;;;4;3;;;38.25;0.39215686274509803;0.10457516339869281;13;0.33986928104575165;0.40625;0.3409090909090909;0.18181818181818182;0.325;;;13.100.000.000.000.000;0.342483660130719;0.2583826429980276;Wing
0;;;5;;;;;6;1;0;;;;;;;;;;;;12;;;42;;;;1;0;;;28.749.999.999.999.900;0.1739130434782609;0.03478260869565218;4;0.13913043478260873;0.3333333333333333;0.11363636363636363;0.045454545454545456;0.1;;;4.0;0.13913043478260873;0.07889546351084813;Wing
0;;;3;;;;;0;0;0;;;;;;;;;;;;3;;;100;;;;1;0;;;15.0;0.2;0.06666666666666667;3;0.2;1.0;0.06818181818181818;0.045454545454545456;0.075;;;4.2;0.28;0.08284023668639053;Wing
1;;;0;;;;;2;0;0;;;;;;;;;;;;2;;;0;;;;3;3;;;32.999.999.999.999.900;0.0;0.09090909090909095;0;0.0;0.0;0.0;0.17647058823529413;0.0;;;16.999.999.999.999.900;0.05151515151515153;0.09189189189189188;Pivot
0;;;2;;;;;4;2;3;;;;;;;;;;;;11;;;18;;;;1;1;;;30.0;0.06666666666666667;0.03333333333333333;0;0.0;0.0;0.08;0.058823529411764705;0.0;;;-0.8499999999999999;-0.02833333333333333;-0.04594594594594594;Wing
0;;;5;;;;;5;1;5;;;;;;;;;;;;16;;;31;;;;2;1;;;3.324.999.999.999.990;0.15037593984962408;0.060150375939849635;4;0.12030075187969927;0.25;0.2;0.11764705882352941;0.23529411764705882;;;3.65;0.10977443609022558;0.19729729729729728;Wing
0;;;2;;;;;7;0;0;;;;;;;;;;;;9;;;22;;;;2;0;;;25.0;0.08;0.08;2;0.08;0.2222222222222222;0.08;0.11764705882352941;0.11764705882352941;;;3.0;0.12;0.16216216216216217;Wing
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;1;2;;;8.166.666.666.666.660;0.0;0.12244897959183675;0;0.0;;0.0;0.058823529411764705;0.0;;;0.19999999999999996;0.024489795918367342;0.010810810810810808;Pivot
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;2;0;;;45.0;0.0;0.044444444444444446;0;0.0;;0.0;0.11764705882352941;0.0;;;2.4;0.05333333333333333;0.12972972972972974;Pivot
0;;;0;;;;;1;1;0;;;;;;;;;;;;2;;;0;;;;1;0;;;15.0;0.0;0.06666666666666667;-1;-0.06666666666666667;-0.5;0.0;0.058823529411764705;-0.058823529411764705;;;0.0;0.0;0.0;Pivot
1;;;0;;;;;2;0;0;;;;;;;;;;;;2;;;0;;;;1;2;;;33.833.333.333.333.300;0.0;0.029556650246305417;0;0.0;0.0;0.0;0.058823529411764705;0.0;;;-0.19999999999999996;-0.005911330049261082;-0.010810810810810808;Pivot
0;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;1;1;;;15.0;0.0;0.06666666666666667;0;0.0;;0.0;0.058823529411764705;0.0;;;0.7;0.04666666666666666;0.03783783783783783;Pivot
0;;;10;;;;;8;3;0;;;;;;;;;;;;21;;;48;;;;1;1;;;3.575.000.000.000.000;0.2797202797202797;0.027972027972027965;7;0.19580419580419575;0.3333333333333333;0.4;0.058823529411764705;0.4117647058823529;;;61.000.000.000.000.000;0.1706293706293706;0.32972972972972975;Wing
0;;;1;;;;;6;0;0;;;;;;;;;;;;7;;;14;;;;1;2;;;15.0;0.06666666666666667;0.06666666666666667;1;0.06666666666666667;0.14285714285714285;0.04;0.058823529411764705;0.058823529411764705;;;0.0;0.0;0.0;Wing
0;;;5;;;;;12;1;0;;;;;;;;;;;;18;;;28;;;;1;2;;;25.999.999.999.999.900;0.19230769230769235;0.038461538461538464;4;0.15384615384615385;0.2222222222222222;0.2;0.058823529411764705;0.23529411764705882;;;17.999.999.999.999.900;0.06923076923076922;0.09729729729729727;Wing
0;;;7;;;;;1;0;0;;;;;;;;;;;;8;;;88;;;;3;1;;;22.25;0.3146067415730337;0.1348314606741573;7;0.3146067415730337;0.875;0.109375;0.06382978723404255;0.11475409836065574;;;9.899.999.999.999.990;0.444943820224719;0.0938388625592417;Pivot
0;;;9;;;;;2;0;0;;;;;;;;;;;;11;;;82;;;;6;4;;;21.499.999.999.999.900;0.4186046511627908;0.2790697674418605;9;0.4186046511627908;0.8181818181818182;0.140625;0.1276595744680851;0.14754098360655737;;;13.799.999.999.999.900;0.6418604651162791;0.1308056872037915;Wing
0;;;0;;;;;0;1;0;;;;;;;;;;;;1;;;0;;;;5;0;;;23.499.999.999.999.900;0.0;0.21276595744680854;-1;-0.04255319148936171;-1.0;0.0;0.10638297872340426;-0.01639344262295082;;;5.0;0.21276595744680854;0.047393364928909956;Pivot
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;3;0;;;22.25;0.0;0.1348314606741573;0;0.0;;0.0;0.06382978723404255;0.0;;;35.999.999.999.999.900;0.16179775280898875;0.034123222748815164;Pivot
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;5;0;;;22.75;0.0;0.21978021978021978;0;0.0;;0.0;0.10638297872340426;0.0;;;6.0;0.26373626373626374;0.05687203791469195;Pivot
0;;;6;;;;;0;0;0;;;;;;;;;;;;6;;;100;;;;1;0;;;21.833.333.333.333.300;0.2748091603053435;0.04580152671755725;6;0.2748091603053435;1.0;0.09375;0.02127659574468085;0.09836065573770492;;;7.2;0.3297709923664122;0.06824644549763034;Wing
0;;;8;;;;;0;0;2;;;;;;;;;;;;10;;;80;;;;2;5;;;27.749.999.999.999.900;0.28828828828828834;0.07207207207207209;8;0.28828828828828834;0.8;0.125;0.0425531914893617;0.13114754098360656;;;7.4;0.2666666666666668;0.07014218009478675;Wing
0;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;7;0;;;22.25;0.0;0.3146067415730337;0;0.0;;0.0;0.14893617021276595;0.0;;;8.4;0.3775280898876405;0.07962085308056874;Pivot
0;;;7;;;;;4;0;0;;;;;;;;;;;;11;;;64;;;;3;2;;;30.0;0.23333333333333334;0.1;7;0.23333333333333334;0.6363636363636364;0.109375;0.06382978723404255;0.11475409836065574;;;8.8;0.29333333333333333;0.08341232227488153;Wing
0;;;11;;;;;5;1;1;;;;;;;;;;;;18;;;61;;;;4;1;;;33.166.666.666.666.600;0.3316582914572865;0.1206030150753769;10;0.30150753768844224;0.5555555555555556;0.171875;0.0851063829787234;0.16393442622950818;;;13.05;0.39346733668341716;0.123696682464455;Wing
0;;;5;;;;;4;0;0;;;;;;;;;;;;9;;;56;;;;2;2;;;23.166.666.666.666.600;0.2158273381294964;0.08633093525179855;5;0.2158273381294964;0.5555555555555556;0.078125;0.0425531914893617;0.08196721311475409;;;5.6;0.24172661870503595;0.053080568720379154;Wing
0;;;3;;;;;0;0;0;;;;;;;;;;;;3;;;100;;;;4;0;;;22.75;0.13186813186813187;0.17582417582417584;3;0.13186813186813187;1.0;0.046875;0.0851063829787234;0.04918032786885246;;;7.8;0.34285714285714286;0.07393364928909954;Pivot
0;;;8;;;;;1;1;1;;;;;;;;;;;;11;;;73;;;;2;0;;;21.833.333.333.333.300;0.366412213740458;0.0916030534351145;7;0.3206106870229008;0.6363636363636364;0.125;0.0425531914893617;0.11475409836065574;;;8.95;0.4099236641221374;0.08483412322274882;Wing
1;;;1;;;;;1;0;0;;;;;;;;;;;;2;;;50;;;;4;2;;;45.0;0.022222222222222223;0.08888888888888889;1;0.022222222222222223;0.5;0.022222222222222223;0.19047619047619047;0.030303030303030304;;;4.6;0.10222222222222221;0.10143329658213891;Pivot
0;;;9;;;;;2;3;1;;;;;;;;;;;;15;;;60;;;;3;3;;;45.0;0.2;0.06666666666666667;6;0.13333333333333333;0.4;0.2;0.14285714285714285;0.18181818181818182;;;7.449.999.999.999.990;0.16555555555555554;0.16427783902976845;Wing
0;;;7;;;;;6;1;1;;;;;;;;;;;;10;;;70;;;;6;2;;;45.0;0.15555555555555556;0.13333333333333333;6;0.13333333333333333;0.6;0.15555555555555556;0.2857142857142857;0.18181818181818182;;;10.75;0.2388888888888889;0.23704520396912898;Wing
1;;;7;;;;;7;0;1;;;;;;;;;;;;15;;;47;;;;2;1;;;4.233.333.333.333.330;0.16535433070866143;0.04724409448818898;7;0.16535433070866143;0.4666666666666667;0.15555555555555556;0.09523809523809523;0.21212121212121213;;;7.25;0.17125984251968507;0.15986769570011025;Wing
1;;;1;;;;;1;0;0;;;;;;;;;;;;2;;;50;;;;1;2;;;34.166.666.666.666.600;0.02926829268292683;0.02926829268292683;1;0.02926829268292683;0.5;0.022222222222222223;0.047619047619047616;0.030303030303030304;;;1.0;0.02926829268292683;0.022050716648291068;Pivot
0;;;8;;;;;5;5;2;;;;;;;;;;;;20;;;40;;;;1;1;;;3.550.000.000.000.000;0.2253521126760563;0.028169014084507036;3;0.08450704225352111;0.15;0.17777777777777778;0.047619047619047616;0.09090909090909091;;;2.2;0.06197183098591549;0.04851157662624035;Wing
0;;;12;;;;;6;3;0;;;;;;;;;;;;21;;;57;;;;4;1;;;45.0;0.26666666666666666;0.08888888888888889;9;0.2;0.42857142857142855;0.26666666666666666;0.19047619047619047;0.2727272727272727;;;12.1;0.2688888888888889;0.26681367144432194;Wing
0;;;5;;;;;3;2;4;;;;;;;;;;;;14;;;36;;;;3;3;;;39.25;0.12738853503184713;0.07643312101910828;3;0.07643312101910828;0.21428571428571427;0.10869565217391304;0.10344827586206896;0.08823529411764706;;;34.999.999.999.999.900;0.08917197452229299;0.06529850746268656;Wing
0;;;6;;;;;2;5;0;;;;;;;;;;;;13;;;46;;;;1;1;;;3.341.666.666.666.660;0.1795511221945137;0.02992518703241895;1;0.02992518703241895;0.07692307692307693;0.13043478260869565;0.034482758620689655;0.029411764705882353;;;12.999.999.999.999.900;0.038902743142144626;0.024253731343283583;Wing
0;;;5;;;;;2;0;0;;;;;;;;;;;;7;;;71;;;;5;4;;;40.5;0.12345679012345678;0.12345679012345678;5;0.12345679012345678;0.7142857142857143;0.10869565217391304;0.1724137931034483;0.14705882352941177;;;8.6;0.21234567901234566;0.16044776119402987;Pivot
0;;;0;;;;;1;0;0;;;;;;;;;;;;1;;;0;;;;4;2;;;28.166.666.666.666.600;0.0;0.14201183431952663;0;0.0;0.0;0.0;0.13793103448275862;0.0;;;35.999.999.999.999.900;0.12781065088757396;0.06716417910447761;Pivot
0;;;14;;;;;2;3;0;;;;;;;;;;;;19;;;74;;;;2;3;;;30.0;0.4666666666666667;0.06666666666666667;11;0.36666666666666664;0.5789473684210527;0.30434782608695654;0.06896551724137931;0.3235294117647059;;;11.5;0.38333333333333336;0.21455223880597019;Wing
1;;;1;;;;;2;1;0;;;;;;;;;;;;4;;;25;;;;3;1;;;36.333.333.333.333.300;0.027522935779816512;0.08256880733944953;0;0.0;0.0;0.021739130434782608;0.10344827586206896;0.0;;;26.999.999.999.999.900;0.07431192660550458;0.05037313432835821;Pivot
1;;;7;;;;;6;0;4;;;;;;;;;;;;17;;;41;;;;4;1;;;45.0;0.15555555555555556;0.08888888888888889;7;0.15555555555555556;0.4117647058823529;0.15217391304347827;0.13793103448275862;0.20588235294117646;;;9.1;0.20222222222222222;0.1697761194029851;Wing
0;;;2;;;;;0;0;0;;;;;;;;;;;;2;;;100;;;;4;2;;;30.0;0.06666666666666667;0.13333333333333333;2;0.06666666666666667;1.0;0.043478260869565216;0.13793103448275862;0.058823529411764705;;;5.8;0.19333333333333333;0.1082089552238806;Pivot
0;;;6;;;;;3;1;0;;;;;;;;;;;;10;;;60;;;;3;1;;;32.333.333.333.333.300;0.18556701030927833;0.09278350515463916;5;0.15463917525773194;0.5;0.13043478260869565;0.10344827586206896;0.14705882352941177;;;7.5;0.23195876288659792;0.13992537313432837;Wing
0;;;5;;;;;4;1;0;;;;;;;;;;;;10;;;50;;;;1;2;;;27.666.666.666.666.600;0.18072289156626506;0.03614457831325301;4;0.14457831325301204;0.4;0.11627906976744186;0.038461538461538464;0.10810810810810811;;;34.000.000.000.000.000;0.12289156626506025;0.06500956022944551;Wing
0;;;1;;;;;0;0;0;;;;;;;;;;;;1;;;100;;;;5;3;;;45.0;0.022222222222222223;0.1111111111111111;1;0.022222222222222223;1.0;0.023255813953488372;0.19230769230769232;0.02702702702702703;;;5.5;0.12222222222222222;0.10516252390057361;Pivot
0;;;7;;;;;6;0;0;;;;;;;;;;;;13;;;54;;;;4;4;;;24.0;0.2916666666666667;0.16666666666666666;7;0.2916666666666667;0.5384615384615384;0.16279069767441862;0.15384615384615385;0.1891891891891892;;;8.6;0.35833333333333334;0.1644359464627151;Wing
0;;;1;;;;;2;1;0;;;;;;;;;;;;4;;;25;;;;2;1;;;21.0;0.047619047619047616;0.09523809523809523;0;0.0;0.0;0.023255813953488372;0.07692307692307693;0.0;;;1.5;0.07142857142857142;0.028680688336520075;Pivot
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;3;0;;;25.5;0.0;0.11764705882352941;0;0.0;;0.0;0.11538461538461539;0.0;;;35.999.999.999.999.900;0.1411764705882353;0.06883365200764817;Pivot
1;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;1;0;;;19.5;0.0;0.05128205128205128;0;0.0;;0.0;0.038461538461538464;0.0;;;1.2;0.061538461538461535;0.02294455066921606;Pivot
0;;;10;;;;;9;1;1;;;;;;;;;;;;21;;;48;;;;1;2;;;45.0;0.2222222222222222;0.022222222222222223;9;0.2;0.42857142857142855;0.23255813953488372;0.038461538461538464;0.24324324324324326;;;7.15;0.15888888888888889;0.1367112810707457;Wing
0;;;11;;;;;8;1;1;;;;;;;;;;;;21;;;52;;;;4;5;;;45.0;0.24444444444444444;0.08888888888888889;10;0.2222222222222222;0.47619047619047616;0.2558139534883721;0.15384615384615385;0.2702702702702703;;;10.45;0.23222222222222222;0.19980879541108984;Wing
0;;;0;;;;;1;0;0;;;;;;;;;;;;1;;;0;;;;3;1;;;20.5;0.0;0.14634146341463414;0;0.0;0.0;0.0;0.11538461538461539;0.0;;;28.999.999.999.999.900;0.14146341463414633;0.0554493307839388;Pivot
0;;;7;;;;;2;2;0;;;;;;;;;;;;11;;;64;;;;1;0;;;30.916.666.666.666.600;0.22641509433962265;0.03234501347708895;5;0.16172506738544476;0.45454545454545453;0.16279069767441862;0.038461538461538464;0.13513513513513514;;;5.8;0.1876010781671159;0.11089866156787762;Wing
0;;;1;;;;;0;0;0;;;;;;;;;;;;1;;;100;;;;1;0;;;10.916.666.666.666.600;0.0916030534351145;0.0916030534351145;1;0.0916030534351145;1.0;0.023255813953488372;0.038461538461538464;0.02702702702702703;;;2.2;0.20152671755725193;0.04206500956022945;Wing
0;;;3;;;;;1;2;0;;;;;;;;;;;;6;;;50;;;;0;5;;;30.0;0.1;0.0;1;0.03333333333333333;0.16666666666666666;0.0625;0.0;0.024390243902439025;;;-1.7;-0.056666666666666664;-0.026275115919629062;Wing
0;;;0;;;;;0;1;0;;;;;;;;;;;;1;;;0;;;;6;0;;;20.5;0.0;0.2926829268292683;-1;-0.04878048780487805;-1.0;0.0;0.1875;-0.024390243902439025;;;6.199.999.999.999.990;0.3024390243902439;0.09582689335394128;Pivot
0;;;0;;;;;0;0;0;;;;;;;;;;;;0;;;;;;;4;1;;;30.0;0.0;0.13333333333333333;0;0.0;;0.0;0.125;0.0;;;4.3;0.14333333333333334;0.06646058732612056;Pivot
